character,unicode,mc,pu,ct,kr,vn,jp_go,jp_kan,jp_tou,jp_kwan,jp_other
"窶","7AB6","gyox","ju4","geoi6,lau4","gu,ru(nu)","cux,lux","[1]/gu/[2]/ru/","[1]ku[2]rou",,,
"窷","7AB7",,"liao4","liu4","ryo(yo)",,,,,,
"窸","7AB8","sit","xi1","sik1","sil","taats",,,,,
"窹","7AB9","ngoh","wu4",,"o",,"/gu/","go",,,
"窺","7ABA","khjye","kui1","kwai1","gyu","khuy","ki","ki",,,
"窻","7ABB",,"chuang1",,"chang","song","*sou*","*sou(sau)*",,,
"窼","7ABC",,"chao1,ke1",,"so",,"[1]/syou(seu)/","[1]sou(sau)",,,"[2]ka(kwa)"
"窽","7ABD",,"kuan3,cuan4",,"gwan",,,,,,
"窾","7ABE","khuanx","kuan3,cuan4","fun2","gwan","khoanr","kan(kwan)","kan(kwan)",,,
"窿","7ABF","liung","long2","lung4(lung1)","ryung(yung)","lung","/ru/","ryuu",,,
"竀","7AC0","thrang,thrieng","cheng1,cheng4","cing1(cang1)","taeng",,,,,,
"竁","7AC1","chyed,chryed,chjyenh","cui4","ceoi3","chwi","xuees",,,,,
"竂","7AC2","leu","liao2",,"ryo(yo)",,,,,,
"竃","7AC3",,"zao4",,"jo",,"sou(sau)","sou(sau)",,,
"竄","7AC4","chuanh","cuan4","cyun3(cyun2)","chan","thoans","/san/","/san/",,"zan",
"竅","7AC5","kheuh","qiao4","hiu3(kiu3)","gyu","khieeus","kyou(keu)","kyou(keu)",,,
"竆","7AC6",,"qiong2",,"gung",,"/gu/,/guu/","*kyuu*",,,
"竇","7AC7","duh","dou4","dau6,dau3","du,dok","ddaauj","/zu(du)/","tou",,,
"竈","7AC8","cauh","zao4",,"jo","taos","sou(sau)","sou(sau)",,,
"竉","7AC9","lungx","long3",,"rong(nong)",,"/ryuu/","ryou",,,
"竊","7ACA","chet","qie4","sit3","jeol","thieets","/seti/","*setu*",,,
"立","7ACB","lip","li4","lap6(laap6)","rip(ip),wi","laapj","*ryuu(rihu)*","*ryuu(rihu)*",,"*ritu*",
"竌","7ACC",,"chu4",,"cheo",,,,,,"syo"
"竍","7ACD",,"shi2",,"sip",,,,,,"huu"
"竎","7ACE",,"fu4",,"bu",,,,,,"huu"
"竏","7ACF",,"qian1",,"cheon",,,,,,"huu"
"竐","7AD0",,"chu4,qi4",,"chok",,,,,,
"竑","7AD1","ghrueng","hong2","wang4","hoeng",,"/ou(wau)/","kou(kwau)",,,
"竒","7AD2","gie,kie","qi2",,"gi,ui",,"[1]/gi/[2]*ki*","[1]*ki*[2]*ki*",,,
"竓","7AD3",,"hao2",,"mo",,"/ten(temu)/","tan(tamu)",,,
"竔","7AD4",,"sheng1",,"seung",,,,,,
"竕","7AD5",,"fen1",,"bun",,"/ten(temu)/","tan(tamu)",,,
"竖","7AD6",,"shu4",,"su","thuj",,,,,
"竗","7AD7",,"miao4",,"myo",,,,,,
"竘","7AD8","khyox,khux","qu3,kou3","geoi2(keoi5)","gu",,,,,,
"站","7AD9","tremh,dremh","zhan4","zaam6","cham","tramj","/ten(temu)/","tan(tamu)",,,
"竚","7ADA","driox","zhu4",,"jeo","truwx","/zyo(dyo)/","tyo",,,
"竛","7ADB","leng","ling2",,"ryeong(yeong)",,"/ryou(ryau)/","rei",,,
"竜","7ADC",,"long2",,"ryong(yong),rong(nong),mang,chong","long","*ryuu*","/ryou/",,"/rou/",
"竝","7ADD","bengx","bing4",,"byeong,bang,ban","tinhj","/byou(byau)/","*hei*",,,
"竞","7ADE",,"jing4",,"gyeong","canhj",,,,,
"竟","7ADF","kiengh","jing4","ging2","gyeong","canhs","kyou(kyau)","/kei/",,,
"章","7AE0","cjang","zhang1","zoeng1","jang","chuwowng","*syou(syau)*","*syou(syau)*",,,
"竡","7AE1",,"bai3",,"baek",,"/zi/","si",,,
"竢","7AE2","zsrix","si4",,"sa","six","/zi/","si",,,
"竣","7AE3","chyn","jun4","zeon3(ceon1)","jun,jeon","thuaan,thuyeen","syun","syun",,,
"竤","7AE4",,"hong2","wang4","goeng",,,,,,
"童","7AE5","dung","tong2","tung4","dong,jong","ddoongf","/zuu(duu)/","/tou/",,"*dou*",
"竦","7AE6","syungx","song3","sung2","song","tungr","/syu/","syou",,,
"竧","7AE7",,"jing4,zhen3",,"jeong,chin",,,,,,"[1]sin[2]sei"
"竨","7AE8",,"diao4",,"jo",,"/zyou(deu)/","tyou(teu)",,,
"竩","7AE9","ngieh","yi4",,"ui",,"gi","gi",,,
"竪","7AEA","zjyox","shu4",,"su","thuj","zyu","/syu/",,,
"竫","7AEB","ziengx","jing4","zing6","jeong","tinhx","/zyou(zyau)/","sei",,,
"竬","7AEC",,"qu3",,"gu",,,,,,"ku"
"竭","7AED","giat,giet","jie2","kit3","gal,geol","kieetj","[1]/geti/[2]/goti/","[1]ketu[2]ketu",,,
"竮","7AEE","pheng,beng","ping2","ping4","byeong,bing",,,,,,
"端","7AEF","tuan","duan1","dyun1","dan,cheon,jeon","ddoan","*tan*","*tan*",,,
"竰","7AF0",,"li2",,"ri(i)",,"*tan*","*tan*",,,
"竱","7AF1","tuan,cjyenx","zhuan3",,"jeon","chuyeenr","[1]sen[2]tan","[1]sen[2]tan",,,
"竲","7AF2","zing,cong","ceng2,zeng1",,"jeung",,,,,,
"竳","7AF3",,"deng1",,"deung",,,,,,
"竴","7AF4","chyn","cun1",,"jun",,"syun","syun",,,
"竵","7AF5","hrue","wai1",,"hwa",,,,,,
"競","7AF6","giengh","jing4","ging6(ging3)","gyeong","canhj","/gyou(gyau)/","*kei*",,"*kyou(kyau)*",
"竷","7AF7","khomx,khomh","kan3,kan4","ham2,ham3","gam",,,,,,
"竸","7AF8",,"jing4",,"gyeong","canhj","/gyou(gyau)/","*kei*",,"*kyou(kyau)*",
"竹","7AF9","triuk","zhu2","zuk1","juk","trucs","*tiku*","*tiku*","/situ/",,
"竺","7AFA","tuk,triuk,tuuk","zhu2,du3","zuk1","chuk,dok","trucs,ddoocs","[1]/tiku/[2]toku","[1]/tiku/[2]toku",,"[1]ziku(diku)",
"竻","7AFB","lok","le4,jin1","lak6","reuk(neuk)",,"[1]roku","[1]roku",,,"[2]kin"
"竼","7AFC",,"peng2",,"bong",,,,,,
"竽","7AFD","yo","yu2","jyu4","u","vu","u","u",,,
"竾","7AFE",,"chi2",,"ji","trif","[1]/ku/","[1]ko",,,"[2]ti"
"竿","7AFF","kan","gan1","gon1","gan","can,cans","kan","kan",,,
"笀","7B00",,"mang2","mong4","mang",,,,,,
"笁","7B01",,"zhu2","zuk1","chuk,dok",,,,,,
"笂","7B02",,"wan2",,"hwan",,"kan","kan",,,
"笃","7B03",,"du3",,"dok","ddoocs",,,,,
"笄","7B04","ke","ji1","gai1","gye","kee","/ke/","kei",,,
"笅","7B05","ghrau","jiao3,jiao4","gaau2(haau4,ngaau4)","hyo,gyo",,,,,,
"笆","7B06","pra,brax","ba1","baa1","pa","ba","/he/","ha",,,
"笇","7B07","suanh","suan4",,"san","toans","san","san",,,
"笈","7B08","gip,giep,chrep,giap","ji2","kap1(kap6)","geup,geop","caaps","[1]/gou(gohu)/[2]/syou(sehu)/","[1]kyuu(kihu)[2]sou(sahu)",,,
"笉","7B09","chinx","qin3","wan5","sin",,,,,,
"笊","7B0A","craux,crauh","zhao4","zaau3","jo","traos","/syou(seu)/","sou(sau)",,,
"笋","7B0B","synx","sun3",,"sun","duaanr,tuaanr","/syun/","/syun/",,"zyun",
"笌","7B0C",,"ya2",,"a",,,,,,
"笍","7B0D","njyed,tryed","zhui4,rui4",,"che,ye",,,,,,
"笎","7B0E",,"yuan2","jyun4","won",,,,,,
"笏","7B0F","huot","hu4","fat1","hol","hoots","/koti/","kotu",,"/syaku/",
"笐","7B10","kang,ghangh","hang2,hang4","hong4","hang,gang",,,,,,
"笑","7B11","sieuh","xiao4","siu3","so","tieeus","*syou(seu)*","*syou(seu)*",,,
"笒","7B12","zrim,gimh","cen2,jin4,han2","gam6,ham4,sam4","geum,jam,ham",,"/gon(gomu)/","kin(kimu)",,,
"笓","7B13","be","pi2,bi4","pei4","bi",,,,,,
"笔","7B14",,"bi3",,"pil","buts","/hiti/","*hitu*",,,
"笕","7B15",,"jian3",,"gyeon","kieenr",,,,,
"笖","7B16",,"yi3",,"i",,,,,,
"笗","7B17","tuung","dong1",,"dong",,,,,,
"笘","7B18","tep","shan1","dip3(sim1,sim3)","jeom,cheop","thieem","[1]tyou(tehu)[2]sen(semu)","[1]tyou(tehu)[2]sen(semu)",,,
"笙","7B19","srieng","sheng1","saang1(sang1)","saeng","sanh","syou(syau)","/sei/",,,
"笚","7B1A","tap,ghrap","da1,xia2,na4","daap3,haap6","gap",,,,,,
"笛","7B1B","dek","di2","dek6","jeok","ddichj","/zyaku(dyaku)/","*teki*",,,
"笜","7B1C",,"zhu2",,"jul",,,,,,
"笝","7B1D","nap","na4","naap6","nap",,,,,,
"笞","7B1E","thri","chi1","ci1","tae","si","ti","ti",,,
"笟","7B1F",,"gu1",,"go",,"/ku/","ko",,,
"笠","7B20","lip","li4","lap1(lap6)","rip(ip)","lapj","ryuu(rihu)","ryuu(rihu)",,,
"笡","7B21",,"qie4",,"cha",,,,,,
"笢","7B22","min,mjinx","min3","man5","min",,,,,,
"笣","7B23",,"bao1","baau1","po","bao","/hyou(heu)/","hou(hau)",,,
"笤","7B24","deu","tiao2","tiu4","so",,,,,,
"笥","7B25","sih","si4","zi6(si3)","sa","tuws","si","si",,,
"符","7B26","byo","fu2","fu4","bu","phuf","/bu/","*hu*",,,
"笧","7B27","chrek","ce4",,"chaek",,"[1]/syaku/","[1]saku",,,"[2]san"
"笨","7B28","puonx,buonx","ben4","ban6","bun","boonr","/bon/","hon",,,
"笩","7B29",,"fa2",,"pae",,"/boti/","/hatu/",,"batu",
"笪","7B2A","tanx,tanh,chiah,tat","da2","daat3","dal,dan","ddats","/tati/","tatu",,"/datu/",
"笫","7B2B","crix","zi3","zi2","ja,jin,je","chir","si","si",,,
"第","7B2C","deh","di4","dai6","je","ddeej","*dai*","/tei/",,,
"笭","7B2D","leng,lengx","ling2","ling4","ryeong(yeong)",,"/ryou(ryau)/","rei",,,
"笮","7B2E","crah,zak,crak","zuo2,ze2","zaak3,zok6(zok3),zaa3","chak,jak,cha",,"[1]/syaku/[2]/zaku/","[1]saku[2]saku",,,
"笯","7B2F","no,nra,noh","nu2","nou4","no,na",,"/nu/","do",,,
"笰","7B30","pyot","fu2,fei4","fat1","bul",,"/hoti/","hutu",,,
"笱","7B31","kux","gou3","gau2","gu","cus,caaur","/ku/","kou",,,
"笲","7B32","byan,byanx,bienh","fan2","faan4(bin6)","byeon,beon",,,,,,
"笳","7B33","kra","jia1","gaa1","ga","giaf","/ke/","ka",,,
"笴","7B34","kanx,kax","ge3","gon2(go2,gou2)","ga,gan",,"[1]ka[2]kan","[1]ka[2]kan",,,
"笵","7B35","byamx","fan4","faan6","beom","phamj","/bon(bomu)/","han(hamu)",,,
"笶","7B36",,"shi3",,"si",,"si","si",,,
"笷","7B37",,"mao3",,"myo",,,,,,
"笸","7B38",,"po3","po2","pa",,,,,,
"笹","7B39",,"ti4",,"se",,"si","si",,,
"笺","7B3A",,"jian1",,"jeon","tieen",,,,,
"笻","7B3B",,"qiong2","kung4","gong",,"/gu/,/guu/","kyou",,,
"笼","7B3C",,"long2,long3",,"rong(nong)","lung,loongj",,,,,
"笽","7B3D",,"min3",,"myeong",,"/tati/","tatu",,"/datu/",
"笾","7B3E",,"bian1",,"byeon","bieen",,,,,
"笿","7B3F","lak","luo4",,"rak(nak)",,"raku","raku",,,
"筀","7B40","kueh","gui4","gai3","gye",,"/ke(kwe)/","kei(kwei)",,,
"筁","7B41",,"qu1",,"gok",,"/koku/","kyoku",,,
"筂","7B42",,"chi2",,"ji",,,,,,
"筃","7B43",,"yin1",,"in",,,,,,
"筄","7B44","jeuh","yao4","jiu6","yo",,,,,,
"筅","7B45","senx","xian3","sin2","seon","tieenr","sen","sen",,,
"筆","7B46","pit","bi3","bat1","pil","buts","/hiti/","*hitu*",,,
"筇","7B47","gyung","qiong2","kung4","gong","cung","/gu/,/guu/","kyou",,,
"筈","7B48","kuat,khuat","kuo4","kut3","gwal",,"/kati(kwati)/","katu(kwatu)",,,
"等","7B49","taix,tongx","deng3","dang2","deung","ddawngr","[1]*tou*[2]tai","[1]*tou*[2]tai",,,
"筊","7B4A","ghrau,kraux","jiao3,jiao4","gaau2(ngaau4)","hyo,gyo",,,,,,
"筋","7B4B","kion","jin1","gan1","geun","caan","/kon/","*kin*",,,
"筌","7B4C","chyen","quan2","cyun4","jeon","thuyeen","sen","sen",,,
"筍","7B4D","synx","sun3","seon2","sun","duaanr,taans","/syun/","/syun/",,"zyun",
"筎","7B4E",,"ru2","jyu4","yeo",,"/nyo/","zyo",,,
"筏","7B4F","byat,puat","fa2","fat6","beol","phieetj","/boti/","/hatu/",,"batu",
"筐","7B50","khyang","kuang1","hong1(kwaang1)","gwang","khuoong","/kou(kwau)/","kyou(kwyau)",,,
"筑","7B51","driuk,triuk","zhu4,zhu2","zuk1","chuk","trucs","tiku","tiku",,,
"筒","7B52","dung,dungh","tong3","tung4(tung2)","tong","ddoongf","/zuu(duu)/","*tou*",,,
"筓","7B53",,"ji1",,"gye","kee",,,,,
"答","7B54","top","da2,da1","daap3","dap","ddaps","*tou(tohu)*","*tou(tahu)*",,,
"筕","7B55","ghang,ghrang","hang2",,"haeng",,"/gou(gau)/","kou(kau)",,,
"策","7B56","chrek","ce4","caak3","chaek","sachs","/syaku/","*saku*",,,
"筗","7B57",,"zhong4",,"jung",,,,,,
"筘","7B58","khuh","kou4","kau3","gu",,,,,,
"筙","7B59",,"lai2",,"roe(noe)",,,,,,
"筚","7B5A",,"bi4",,"pil","taats",,,,,
"筛","7B5B",,"shai1",,"sa","si,suw",,,,,
"筜","7B5C",,"dang1",,"dang","dduwowng",,,,,
"筝","7B5D",,"zheng1",,"jaeng","tranh","/syou(syau)/","sou(sau)",,,
"筞","7B5E",,"ce4",,"chaek","sachs",,,,,
"筟","7B5F","phyo","fu1",,"bu",,,,,,
"筠","7B60","yn","yun2,jun1","wan4(gwan1)","gyun","quaan","in(win)","in(win)",,,
"筡","7B61","thrio,do","tu2","tou4(syu1)","do",,,,,,
"筢","7B62",,"pa2",,"pa","ba",,,,,
"筣","7B63","li,le","li2","lei4","ri(i)",,,,,,
"筤","7B64","lang","lang2,lang4","long4","rang(nang)","lang","rou(rau)","rou(rau)",,,
"筥","7B65","kiox","ju3","geoi2","geo,ryeo(yeo)","cuwr","/ko/","kyo",,,
"筦","7B66","kuanx","guan3","gun2","gwan","quanr","kan(kwan)","kan(kwan)",,,
"筧","7B67","kenx","jian3","gaan2","gyeon","kieenr","ken","ken",,,
"筨","7B68","ghom","han2",,"ham",,,,,,
"筩","7B69","dung","tong3","tung2,tung4","tong,yong","ddoongf","/zuu(duu)/","tou",,,
"筪","7B6A",,"xia2",,"gap",,,,,,"kou(kahu)"
"筫","7B6B",,"zhi4,zhi3",,"ji",,,,,,
"筬","7B6C","zjeng","cheng2",,"seong",,"/zyou(zyau)/","sei",,,
"筭","7B6D","suanh","suan4","syun3","san","toans","*san*","*san*","/son/",,
"筮","7B6E","zjed","shi4","sai6","seo","theej,pheej","/ze/","/sei/",,"zei",
"筯","7B6F","drioh","zhu4",,"jeo","trowj","/zyo(dyo)/","tyo",,,
"筰","7B70","zak","zuo2","zok6(zok3)","jak,chak,cha","tacj","/zaku/","saku",,,
"筱","7B71","seux","xiao3","siu2(siu6)","so","tieeur","syou(seu)","syou(seu)",,,
"筲","7B72","srau","shao1","saau1","so","sao","syou(seu)","/sou(sau)/",,,
"筳","7B73","deng","ting2","ting4","jeong","ddinhf","/zyou(dyau)/","tei",,,
"筴","7B74","chrek,kep,krep","ce4","gaap3,caak3","hyeop,chaek","sachs,giaps,kieepj","[1]/syaku/[2]kyou(kehu)","[1]saku[2]/kou(kahu)/",,,
"筵","7B75","jen","yan2","jin4","yeon","dieen","en","en",,,
"筶","7B76",,"gao4","gou2","go",,,,,,
"筷","7B77","khruad","kuai4","faai3","kwae","khoais",,,,,"kai(kwai)"
"筸","7B78",,"gan1","gon2","gan","cao",,,,,
"筹","7B79",,"chou2",,"ju","truf","/zyuu(diu)/","tyuu(tiu)",,,
"筺","7B7A",,"kuang1",,"gwang",,"/kou(kwau)/","kyou(kwyau)",,,
"筻","7B7B",,"gang4",,"gang",,,,,,
"筼","7B7C",,"yun2",,"un","vaan",,,,,
"筽","7B7D",,,,"o",,,,,,
"签","7B7E",,"qian1",,"cheom","thieem",,,,,
"筿","7B7F",,"xiao3",,"so",,"syou(seu)","syou(seu)",,,
"简","7B80",,"jian3",,"gan","gianr",,,,,
"箁","7B81","bu","pou2,bu4,fu2,pu2",,"bu",,,,,,
"箂","7B82",,"lai2","loi4","rae(nae)",,,,,,
"箃","7B83","criu","zou1",,"chu",,,,,,
"箄","7B84","pje,pe,pjex","pai2,bei1","paai4,bei6","bi,pye,pae","baif,tij,phir","[1]hi[2]/be/","[1]hi[2]hai",,,
"箅","7B85","peh","bi4","bei3","pye,bi",,,,,,
"箆","7B86",,"bi4",,"bi","beef","/hai/","hei",,"/hi/",
"箇","7B87","kah","ge4","go3","gae","cas","*ka*","*ka*","/ko/",,
"箈","7B88",,"tai2,chi2","ci4","ji,dae,tae",,,,,,
"箉","7B89","grex","guai3,dai4",,"goe",,"[1]/ge/[2]/de/","[1]kai[2]tai",,,
"箊","7B8A","qio","yu1","jyu1","eo",,,,,,
"箋","7B8B","cen","jian1","zin1","jeon","tieen","*sen*","*sen*",,,
"箌","7B8C",,"zhao4,dao4","dou3,zaau3","jo",,,,,,
"箍","7B8D","ko","gu1","ku1","go","coo","/ku/","ko",,,
"箎","7B8E",,"chi2","ci4","ho,ji","trif","[1]/ku/","[1]ko",,,"[2]ti"
"箏","7B8F","creng","zheng1","zaang1(zang1)","jaeng","tranh","/syou(syau)/","sou(sau)",,,
"箐","7B90","cieng","qing4,jing1","zing1,sin3,coeng1","jeong,cheon,chang",,"[1]/syou(syau)/[2]sen[3]syou(syau)","[1]sei[2]sen[3]syou(syau)",,,
"箑","7B91","sriep,srep","sha4","zit6(saap3,sip3)","sap","tieepj","/syou(sehu)/","sou(sahu)",,,
"箒","7B92","cjux","zhou3",,"chu","truwur,chuwur","/su/","/syuu(siu)/",,"sou(sau)",
"箓","7B93","luk","lu4",,"rok(nok)","lucj",,,,,
"箔","7B94","bak","bo2","bok6","bak","bacj","/baku/","haku",,,
"箕","7B95","ki","ji1","gei1","gi,che","ki,cow","ki","ki",,,
"箖","7B96","lim","lin2,lin3","lam4","rim(im),reum(neum)",,"rin(rimu)","rin(rimu)",,,
"算","7B97","suanx,suanh","suan4","syun3","san","toans","*san*","*san*","/son/",,
"箘","7B98","khyn,gynx","jun4,qun1","kwan5(kwan2,kwan3)","gyun",,"[1]/gon/[2]/kon/","[1]kin(kwin)[2]kin(kwin)",,,
"箙","7B99","biuk","fu2","fuk6","bok",,"/buku/","huku",,,
"箚","7B9A",,"zha2",,"cha","traps","/tyou(tehu)/","tou(tahu)",,"/satu/",
"箛","7B9B","ko","gu1","gu1(ku1)","go",,"/ku/","ko",,,
"箜","7B9C","khung","kong1","hung1","gong","khoong","/ku/","kou",,"/kuu/",
"箝","7B9D","giem","qian2","kim4","gyeom","kieemf","/gen(gemu)/","/ken(kemu)/",,"kan",
"箞","7B9E",,"quan1",,"gwon",,"ken(kwen)","ken(kwen)",,,
"箟","7B9F","khyn","jun4",,"gyun",,"/gon/","kin(kwin)",,,
"箠","7BA0","trye,cjyex","chui2","ceoi4(zeoi1),seoi4","chu","chuyr","[1]sui[2]tui","[1]sui[2]tui",,,
"管","7BA1","kuanx","guan3","gun2","gwan","quanr","*kan(kwan)*","*kan(kwan)*",,,
"箢","7BA2",,"wan3,yuan1",,"won",,,,,,
"箣","7BA3",,"ce4",,"chaek",,,,,,
"箤","7BA4",,"zu2","ceoi3","jol",,,,,,
"箥","7BA5",,"po3",,"pa",,,,,,"ha"
"箦","7BA6",,"ze2",,"chaek","trachs",,,,,
"箧","7BA7",,"qie4",,"hyeop","khieeps",,,,,
"箨","7BA8",,"tuo4",,"tak","thacs",,,,,
"箩","7BA9",,"luo2",,"ra(na)","la",,,,,
"箪","7BAA",,"dan1",,"dan","ddan","tan","tan",,,
"箫","7BAB",,"xiao1",,"so","tieeu",,,,,
"箬","7BAC","njak","ruo4","joek6","yak","nhuwowcj","/nyaku/","zyaku",,,
"箭","7BAD","cienh","jian4","zin3","jeon","tieenx","sen","sen",,,
"箮","7BAE",,"xuan1",,"hwon",,,,,,
"箯","7BAF","bjen,pjen","bian1","bin1","pyeon","tieen","/ben/","hen",,,
"箰","7BB0","synx","sun3",,"sun",,"syun","syun",,,
"箱","7BB1","siang","xiang1","soeng1","sang","tuwowng,suwowng","sou(sau)","/syou(syau)/",,,
"箲","7BB2","senx","xian3",,"seon","tieenr","sen","sen",,,
"箳","7BB3","pjeng,beng","ping2",,"byeong",,,,,,
"箴","7BB4","cjim","zhen1","zam1","jam","chaam","sin(simu)","sin(simu)",,,
"箵","7BB5","sengx","xing1","sing2(sing1)","seong",,"/syou(syau)/","sei",,,
"箶","7BB6","gho","hu2",,"ho",,"/go/","ko",,,
"箷","7BB7","je","shi1,yi2","ji4,si1","i",,,,,,
"箸","7BB8","trioh,drioh","zhu4","zyu6,zyu3","jeo,chak","truws,trowj","[1]/zyo(dyo)/[2]tyaku","[1]tyo[2]tyaku",,,
"箹","7BB9","qrauh,qruk","yue1,yao4,chuo4","cuk1,joek3,aau3","yak,yo,jeok","uwowcs",,,,,
"箺","7BBA",,"chun1",,"jun",,,,,,"syun"
"箻","7BBB",,"lv4",,"ryul(yul)",,"/riti/","ritu",,,
"箼","7BBC",,"wu1",,"ok",,,,,,"oku(woku)"
"箽","7BBD","tungx","dong3",,"dong",,"/tuu/","tou",,,
"箾","7BBE","seu,sruk","shuo4,xiao1,qiao4","sok3,siu1","so,sak",,,,,,
"箿","7BBF","zip","ji2",,"sap,jip",,,,,,
"節","7BC0","cet","jie2","zit3","jeol","tieets","*seti*","*setu*",,,
"篁","7BC1","ghuang","huang2","wong4","hwang","hoangf","/ou(wau)/","kou(kwau)",,,
"篂","7BC2","seng","xing1",,"seong",,"/syou(syau)/","sei",,,
"篃","7BC3","miih","mei4",,"mi",,,,,,
"範","7BC4","byamx","fan4","faan6","beom","phamj","/bon(bomu)/","*han(hamu)*",,,
"篅","7BC5","zjye,zjyen","chuan2",,"cheon",,"[1]/zen/[2]/zui/","[1]sen[2]sui",,,
"篆","7BC6","dryenx","zhuan4","syun6","jeon","trieenj","/den/","ten",,,
"篇","7BC7","phjen","pian1","pin1","pyeon","thieen","hen","hen",,,
"篈","7BC8","pyung","feng1",,"bong",,"/ou(au)/","hou",,,
"築","7BC9","triuk","zhu4,zhu2","zuk1","chuk","trucs","*tiku*","*tiku*",,,
"篊","7BCA",,"hong2","hung4","hong",,"/gu/","kou",,,
"篋","7BCB","khep","qie4","haap6(gip2,hip3)","hyeop","khieeps","kyou(kehu)","kyou(kehu)",,,
"篌","7BCC","ghu","hou2","hau4","hu","haauf","/gu/","kou",,"/go/",
"篍","7BCD","chieu,chiu,chieuh","qiu1",,"chu",,,,,,
"篎","7BCE","mjeux,mjeuh","miao3","miu5(miu6)","myo",,,,,,
"篏","7BCF",,"qian4",,"gam",,"/ken(kemu)/","kan(kamu)",,,
"篐","7BD0",,"gu1",,"jap",,,,,,
"篑","7BD1",,"kui4",,"gwe","quyx",,,,,
"篒","7BD2",,"yi4",,"sik",,,,,,
"篓","7BD3",,"lou3",,"ru(nu)","laau,lux",,,,,
"篔","7BD4","yon","yun2","wan4","un","vaan","un","un",,,
"篕","7BD5","ghap","he2","hap6","hap",,,,,,
"篖","7BD6","dang","tang2",,"dang",,"/dou(dau)/","tou(tau)",,,
"篗","7BD7",,"yue4",,"hwak","duwowcj","waku","waku",,,
"篘","7BD8","chriu","chou1","cau1","chu",,,,,,
"篙","7BD9","kau","gao1","gou1","go","cao","kou(kau)","kou(kau)",,,
"篚","7BDA","pyoix","fei3","fei2","bi","phir","hi","hi",,,
"篛","7BDB",,"ruo4","joek6","yak","nhuwowcj","/nyaku/","zyaku",,,
"篜","7BDC","cjing","zheng1","zing1","jeung",,,,,,
"篝","7BDD","ku","gou1","gau1(kau1)","gu","caau","/ku/","kou",,,
"篞","7BDE","net","nie4","nip6","nyeol(yeol)",,,,,,
"篟","7BDF","chenh","qian4","sin3","cheon",,,,,,
"篠","7BE0","seux","xiao3","siu2","so","tieeur","syou(seu)","syou(seu)",,,
"篡","7BE1","chruanh","cuan4","saan3","chan","soans",,,,,
"篢","7BE2","kung","gong1,gan3,long3","lung5","gong",,,,,,
"篣","7BE3","bang,brang","peng2,pang2","pang4,pong4","bang",,,,,,
"篤","7BE4","tuuk","du3","duk1","dok","ddoocs","*toku*","*toku*",,,
"篥","7BE5","lit","li4","leot6","ryul(yul)","laatj","/riti/","ritu",,"/riki/",
"篦","7BE6","pe","bi4","bei6(bai1),bei1","bi","beef","/hai/","hei",,"/hi/",
"篧","7BE7","zruk,cruk","zhuo2,huo4","zuk1(zok6),wok6","chak",,,,,,
"篨","7BE8","drio","chu2","ceoi4(cyu1)","jeo","truwf","zyo(dyo)","/tyo/",,,
"篩","7BE9","srie,srii,sre","shai1","sai1(si1)","sa","si,suw","[1]si[2]/se/","[1]si[2]sai",,,
"篪","7BEA","drie","chi2","ci4","ji,ho","trif","/zi(di)/","ti",,,
"篫","7BEB",,"zhu4","zuk1","chuk",,,,,,
"篬","7BEC","chiang","qiang1,cang1",,"chang",,,,,,
"篭","7BED",,"long2,long3",,"rong(nong)",,"/ru/","*rou*",,,
"篮","7BEE",,"lan2",,"ram(nam)","lam",,,,,
"篯","7BEF",,"jian3,jian1",,"jeon",,,,,,
"篰","7BF0","bux","bu4","bou6","bu",,"/bu/","hou",,,
"篱","7BF1",,"li2","lei4","ri(i)","li",,,,,
"篲","7BF2","zsyed","hui4","seoi6(wai6)","su,hye","tueej","[1]/zei/[2]sui","[1]sei[2]sui",,,
"篳","7BF3","pjit","bi4","bat1","pil","taats","/hiti/","hitu",,,
"篴","7BF4","driuk,dek","zhu2,di2","dek6","jeok","ddichj","[1]/zyaku(dyaku)/[2]/ziku(diku)/","[1]teki[2]tiku",,,
"篵","7BF5",,"cong1",,"chong",,,,,,"sou(sau)"
"篶","7BF6",,"yan1",,"eon",,,,,,"en"
"篷","7BF7","bung","peng2","pung4","bong","boongf","/bu/","hou",,,
"篸","7BF8","com,comh","cen1,zan1,can3","caam2,cam1,zaam1","jam,cham",,"[1]/son(somu)/[2]sin(simu)","[1]san(samu)[2]sin(simu)",,,
"篹","7BF9","suanx","zhuan4,zuan4,suan3","zaan6,zyun2,syun2","chan,jeon,san","soanj,toanr","[1]san[2]/zen/","[1]san[2]sen",,,
"篺","7BFA",,"pi2",,"pae",,"/be/","hai",,,
"篻","7BFB","mjeu,phjeux","piao3,biao1","piu3","pyo",,,,,,
"篼","7BFC","tu","dou1",,"du","ddaau","/to/,/tu/","tou",,,
"篽","7BFD","ngiox","yu4","jyu5","eo",,,,,,
"篾","7BFE","met","mie4","mit6","myeol","mieetj","/meti/","betu",,,
"篿","7BFF","duan,cjyen","tuan2,zhuan1","zyun1,tyun4","jeon,dan",,,,,,
"簀","7C00","crek","ze2","zaak3","chaek","trachs","/syaku/","saku",,,
"簁","7C01","srie,sriex","shai1","sai1(si1)","sa",,"[1]si[2]/se/","[1]si[2]sai",,,
